Water storage area,Total capacity (ML),Current volume (ML)*,"capacityChangeBetweenDates",% full,Recorded rainfall (mm)
Thomson,1068000,709787,-863,66.46,0.00
Cardinia,286911,178883,-64,62.35,
"Upper Yarra",200579,124328,206,61.98,3.00
Sugarloaf,96253,87060,-123,90.45,
Silvan,40445,34931,-201,86.37,
Tarago,37580,36260,-36,96.49,
"Yan Yean",30266,26325,-102,86.98,
Greenvale,26839,24597,-105,91.65,
Maroondah,22179,19574,-130,88.25,0.00
"O'Shannassy",3123,2788,-8,89.27,2.00
Total,1812175,1244533,-1426,68.68,
